Wall time,Step,Value
1784457011.6870346,0,0.0
1784457012.6588166,2,0.0
1784457013.126606,3,0.0
1784457013.5935595,4,0.0
1784457015.9007585,9,0.0
1784457016.3720808,10,0.0
1784457016.8386705,11,0.0
1784457018.2133243,14,0.0
1784457018.6696932,15,0.0
1784457019.1294317,16,0.0
1784457020.0519423,18,0.0
1784457020.507613,19,0.0
1784457020.972833,20,0.0
1784457021.8841789,22,0.0
1784457022.3345141,23,0.0
1784457023.679837,26,0.0
1784457024.1368496,27,0.0
1784457024.5885756,28,3.085796151935938e-06
1784457025.0358512,29,3.111357364105061e-05
1784457025.4952028,30,7.527690740971593e-06
1784457026.8945358,33,0.000798875349573791
1784457027.4471767,34,0.004982908256351948
1784457028.4324164,36,0.05861211568117142
1784457028.8968952,37,0.08532340824604034
1784457029.3520272,38,0.13641270995140076
1784457029.814898,39,0.20921221375465393
1784457030.283257,40,0.24202585220336914
1784457033.5856154,47,0.36164769530296326
1784457034.0876794,48,0.34112268686294556
1784457034.5835564,49,0.3261375427246094
1784457035.0575933,50,0.3087941110134125
1784457035.5093539,51,0.29782524704933167
1784457035.9967275,52,0.28021204471588135
1784457036.4534123,53,0.25353604555130005
1784457036.9463477,54,0.21412107348442078
1784457037.3857193,55,0.16500045359134674
1784457038.260646,57,0.05068317800760269
1784457039.5845628,60,0.00199488690122962
1784457040.039714,61,0.0010416647419333458
1784457040.482039,62,0.00034316559322178364
1784457040.9122815,63,9.120842150878161e-05
1784457041.8038776,65,6.813487561885267e-05
1784457042.2556891,66,8.40728753246367e-05
1784457042.708464,67,5.660963506670669e-05
1784457043.144585,68,0.00011310711124679074
1784457044.036388,70,0.00039544139872305095
1784457044.4769807,71,0.0004958811914548278
1784457045.3544555,73,0.0003556839074008167
1784457046.253022,75,0.000335725664626807
1784457047.160015,77,0.007619357667863369
1784457047.5873628,78,0.007115255109965801
1784457048.0335612,79,0.00441728625446558
1784457048.493757,80,0.002931890543550253
1784457049.4163454,82,0.013687802478671074
1784457049.8722138,83,0.022693675011396408
1784457050.765377,85,0.06315761804580688
1784457051.2028062,86,0.0987202376127243
1784457051.6430752,87,0.13014328479766846
1784457052.514224,89,0.1769680231809616
1784457052.9555554,90,0.16978463530540466
1784457055.154362,95,0.1096540242433548
1784457056.8667302,99,0.10191439092159271
1784457057.2902222,100,0.0980268344283104
1784457058.6076808,103,0.07820848375558853
1784457059.040205,104,0.10988499224185944
